ID,TYPE,ORGAN_NAME,ORGAN_CODE,TELPHONE_NUMBER,DZ,REGION_CODE,REGION,HEALTH_EXAMINATION,GSYLJG,SBDDJG,MYBJ,EMERGENCY,HIV,JHBDD
100027,社康中心,深圳市龙岗区第三人民医院红棉社区健康服务中心,PDY751550,0755-28638055,横岗街道红棉路中海大山地花园第25栋1楼商铺,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100028,社康中心,深圳市龙岗区人民医院龙翔社区健康服务中心,PDY751016,0755-28984133,龙城街道龙翔大道龙翔花园1栋商铺110号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100029,社康中心,深圳坂田医院水斗坑社区健康服务中心,PDY751171,0755-89587010,坂田街道贝尔西路（坂田高新技术工业园）,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100030,社康中心,深圳市龙岗中心医院龙岗社区健康服务中心,PDY751091,0755-28834571,龙岗街道龙岗居委会罗福路1号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100031,社康中心,深圳市坪山新区人民医院新榕社区健康服务中心,PDY75097X,0755-84623085,坪山街道碧岭居委会新榕路130号,440310,坪山区,没有,不是,是,不是,不是,不是,不是
100032,社康中心,深圳市龙岗中心医院龙新社区健康服务中心,PDY751999,85216570,深圳市龙岗区龙岗街道龙新社区龙升路75号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100033,社康中心,深圳市龙岗区第六人民医院年丰社区健康服务中心,PDY750419,0755-84085012,龙岗区坪地街道年丰社区坪梓路40号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100034,社康中心,深圳市龙岗区第二人民医院文景社区健康服务中心,PDY751673,0755-28536161,布吉街道文雅豪庭花园一楼铺面,440307,龙岗区,没有,不是,是,不是,不是,不是,不是
100035,社康中心,深圳市龙岗区第六人民医院西湖塘社区健康服务中心,PDY751817,0755-84093120,坪地街道坪东连塘工业区环城南路140号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100036,社康中心,深圳市龙岗区第四人民医院龙山社区健康服务中心,PDY750232,0755-287291746,龙岗区南湾街道街道南龙居委会5号,440307,龙岗区,没有,不是,不是,是,不是,不是,不是
100037,社康中心,深圳市龙岗区第七人民医院沙塘布社区健康服务中心,PDY751120,0755-28747201,南湾街道沙塘布居委翠山西1巷商业街2号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100038,社康中心,深圳市龙岗中心医院宝龙社区健康服务中心,PDY751059,0755-89613910,龙岗街道宝龙国工业区比亚迪公司内,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100039,社康中心,深圳市坪山新区人民医院中集社区健康服务中心,PDY750881,0755-89663034,坪山街道坪环居委中集综合楼,440310,坪山区,没有,不是,不是,不是,不是,不是,不是
100040,社康中心,深圳市龙岗区人民医院赐昱社区健康服务中心,PDY750996,0755-89917902,龙城街道爱联居委会嶂背工业区赐昱（鞋业）股份有限公司,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100041,社康中心,深圳市龙岗中心医院新生社区健康服务中心,PDY750590,84889120,龙岗区龙岗街道新生社区新生路1-1号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100042,社康中心,深圳市龙岗区第六人民医院六联晨曦社区健康服务中心,PDY751702,0755-8408814152,龙岗区坪地街道六联社区楼角居民小区,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100043,社康中心,深圳市龙岗区第七人民医院龙丹社区健康服务中心,PDY751868,0755-28707599,深圳市龙岗区南湾街道龙岗大道南湾段468号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100044,社康中心,深圳市坪山新区人民医院汤坑社区健康服务中心,PDY750689,0755-89935885,坪山街道汤坑路82号,440310,坪山区,没有,不是,不是,不是,不是,不是,不是
100045,社康中心,深圳市龙岗区第二人民医院松元头社区健康服务中心,PDY750742,0755-28504889,布吉街道松元头村,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100046,社康中心,深圳市坪山新区坪山人民医院高斯特社区健康服务中心,PDY858251,0755-84638193,坪山街道洋坑建业路8号,440310,坪山区,没有,不是,不是,不是,不是,不是,不是
100047,社康中心,深圳市坪山新区人民医院和平社区健康服务中心,PDY751489,0755-28828426,坪山街道和平社区坪山综合批发市场,440310,坪山区,没有,不是,不是,不是,不是,不是,不是
100048,社康中心,深圳市龙岗中心医院南约社区健康服务中心,PDY750726,0755-84864684,龙岗区龙岗街道办南约社区大行村南约小学后,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100049,社康中心,深圳健丰医院澳子头社区健康服务中心,PDY751884,0755-84538878,坪山街道龙勤路4号,440307,龙岗区,没有,不是,是,不是,不是,不是,不是
100050,社康中心,深圳市大鹏新区葵涌人民医院三溪社区健康服务中心,PDY751390,0755-89773277,葵涌街道三溪中心村民小组办公楼,440319,大鹏新区,没有,不是,不是,不是,不是,不是,不是
100051,社康中心,深圳市龙岗区第四人民医院康乐社区健康服务中心,PDY751315,0755-84419151,南湾街道康乐社区康桥路46号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100052,社康中心,深圳市龙岗区第三人民医院六约社区健康服务中心,PDY750355,0755-28502565,龙岗区横岗街道六约居委礼耕路9号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100053,社康中心,深圳市龙岗中心医院建新社区健康服务中心,PDY750443,0755-84803169,龙岗区龙岗街道平南居委建新村31号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100054,社康中心,深圳市龙岗区第七人民医院沙湾社区健康服务中心,PDY750734,0755-28749763,龙岗区南湾街道沙平北路27号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100055,社康中心,深圳市龙岗区第六人民医院中心社区健康服务中心,PDY751585,0755-84068120,坪地街道中心社区白石塘教育北路(白石塘段）,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100056,社康中心,深圳市龙岗区第二人民医院甘坑社区健康服务中心,PDY750208,0755-28558341,深圳市龙岗区布吉街道甘坑居委甘李路1号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100057,社康中心,深圳市龙岗区第二人民医院上雪社区健康服务中心,PDY750793,0755-28791339,坂田街道雪岗南路29号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100058,社康中心,深圳市龙岗区第二人民医院福群社区健康服务中心,PDY751841,89605460,龙岗区坂田街道福群厂,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100059,社康中心,深圳市龙岗区第二人民医院下水径社区健康服务中心,PDY750750,0755-84725073,布吉街道下水径1区2巷1号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100060,医院,深圳市坪山新区人民医院沙湖社区健康中心,PDY751139,0755-84625642,坪山街道沙湖居委沙湖市场1号,440310,坪山区,没有,不是,是,不是,不是,不是,不是
100061,社康中心,深圳市龙岗区第二人民医院国展社区健康服务中心,PDY751657,0755-89573044,布吉街道中加名园售楼处,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100062,社康中心,深圳市大鹏新区妇幼保健院新鹏城社区健康服务中心,PDY751948,84319966,深圳市大鹏新区大鹏街道鹏城社区鹏城广场1号,440319,大鹏新区,有,是,是,是,不是,不是,不是
100063,社康中心,深圳市龙岗区第四人民医院桂芳园社区健康服务中心,PDY750566,0755-84157259,南湾街道南岭村桂芳园会所一层,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100064,社康中心,深圳华南妇科医院马峦社区健康服务中心,PDY520277,13902911086,深圳市坪山新区坪环社区马峦路135号,440311,光明区,没有,不是,不是,不是,不是,不是,不是
100065,社康中心,深圳市大鹏新区南澳人民医院新大社区健康服务中心,PDY751534,0755-84401158,南澳街道新大社区原办公楼,440319,大鹏新区,有,不是,不是,是,是,是,不是
100066,社康中心,深圳市龙岗区第二人民医院茂业社区健康服务中心,PDY750937,0755-84732976,龙岗区布吉街道深惠路茂业城怡富楼2号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100067,社康中心,深圳坂田医院龙璧社区健康服务中心,PDY751518,0755-84196870,坂田街道大发埔社区龙璧工业城22栋一楼,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100068,社康中心,深圳市龙岗区第三人民医院四联社区健康服务中心,PDY750515,0755-28695163,龙岗区横岗街道红棉二路39-49号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100069,社康中心,深圳市龙岗区第三人民医院赐昌社区健康服务中心,PDY750670,0755-28672527,横岗街道赐昌厂坳背村,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100070,社康中心,深圳市盐田区人民医院盐田港医疗服务站,PDY860028,0755-25298578,深圳市盐田国际集装箱码头三期消防楼1楼,440308,盐田区,没有,不是,是,不是,不是,不是,不是
100071,社康中心,深圳市盐田区盐港医院明珠社区健康服务中心,PDY850129,75525283321,盐田区明珠社区新围,440308,盐田区,没有,不是,不是,不是,不是,不是,不是
100072,社康中心,深圳市盐田区梅沙医院东部华侨城医疗服务站,PDY86001X,0755-25031510,深圳市盐田区东部华侨城园区内,440308,盐田区,没有,是,是,不是,不是,不是,不是
100073,社康中心,深圳市盐田区梅沙医院大梅沙社区健康服务中心,PDY850022,25060913,深圳市盐田区大梅沙金沙街7号,440308,盐田区,有,不是,不是,是,不是,是,不是
100074,社康中心,深圳市盐田区梅沙医院小梅沙社区健康服务中心,PDY850073,75525255157,深圳市盐田区小梅沙,440308,盐田区,没有,是,是,不是,不是,不是,不是
100075,社康中心,深圳市盐田区人民医院桥东社区健康服务中心,PDY850110,75525550639,盐田区沙头角金融路96号,440308,盐田区,有,是,是,是,是,是,不是
100076,社康中心,深圳市盐田区盐港医院东港印象社区健康服务中心,PDY850188,0755-25032137,深圳市盐田区盐田街道东港印象家园A区F座,440308,盐田区,有,是,是,是,是,是,不是
100077,社康中心,深圳市盐田区盐港医院永安社区健康服务中心,PDY850161,75525218506,盐田永安社区鑫群有限公司商业楼,440308,盐田区,有,不是,不是,是,不是,不是,不是
100078,社康中心,深圳市盐田区盐港医院东海社区健康服务中心,PDY85017X,75525257104,盐田东海道南方明珠花园一期商铺5-6号,440308,盐田区,有,是,是,是,不是,不是,不是
100079,社康中心,深圳市盐田区人民医院沙头角社区健康服务中心,PDY85009X,75525556486,盐田区沙头角园林路16号,440308,盐田区,有,是,是,是,是,不是,不是
100080,社康中心,深圳市盐田区盐港医院盐田社区健康服务中心,PDY850081,75525202629,盐田区北山道盐田街道办民兵大楼二楼,440308,盐田区,没有,不是,不是,不是,不是,不是,不是
100081,社康中心,深圳市盐田区人民医院沙头角保税区医疗服务站,PDY860036,0755-25260827,深圳市盐田区沙头角保税区22栋东面小楼,440308,盐田区,有,是,是,不是,是,不是,不是
100082,社康中心,深圳市盐田区人民医院海涛社区健康服务中心,PDY850145,75525263482,盐田区海涛花园社区综合楼一楼,440308,盐田区,没有,不是,是,是,不是,不是,不是
100083,社康中心,深圳市盐田区人民医院中英街社区健康服务中心,PDY850030,0755-25550277,深圳市盐田区沙头角镇内桥头街4号,440308,盐田区,有,是,是,是,不是,是,不是
100084,社康中心,深圳市盐田区盐港医院沿港社区健康服务中心,PDY850137,75525206210,盐田区北山大道雅园104号,440308,盐田区,没有,不是,是,是,不是,不是,不是
100085,社康中心,深圳市盐田区人民医院田东社区健康服务中心,PDY850057,25361551,盐田区海山路12号瑞林苑4栋1楼,440308,盐田区,没有,不是,是,是,不是,不是,不是
100086,防治中心,深圳市南山区慢性病防治院,PDY510175,26403300,南山区后海华明路7号,440305,南山区,没有,不是,不是,不是,不是,不是,是
100087,医院,深圳市龙岗中心医院手外科医院,PDY711639,0755-84865909,龙岗街道杨梅岗新生西路243号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100088,医院,深圳国丹妇儿科医院,PDY611611,12345678,宝安区龙华街道东环一路北侧第十工业区,440309,龙华区,没有,不是,不是,不是,不是,不是,不是
100089,医院,深圳流花医院,192176309,0755-82221837,深圳市春风路2069号,440303,罗湖区,没有,不是,是,不是,不是,不是,不是
100090,医院,深圳和平医院,G34779100,0755-83911194,深圳市福田区新闻路74号,440304,福田区,没有,不是,不是,不是,不是,不是,不是
100091,医院,深圳市社会福利中心康复医院,G34782131,0755-83311121,深圳市福田区梅林路三十号,440304,福田区,没有,不是,不是,不是,不是,不是,不是
100092,医院,深圳曙光医院,736289214,0755-82473398,深圳市罗湖区红宝路38号,440303,罗湖区,没有,不是,是,不是,不是,不是,不是
100093,医院,深圳阳光整形美容医院,708530891,0755-25563998,深圳市罗湖区宝安南路1048号,440303,罗湖区,没有,不是,不是,不是,不是,不是,不是
100094,医院,深圳岭南医院,745176764,0755-83892666,南山区侨香路4088号美景工业苑1号厂房,440305,南山区,没有,不是,不是,不是,不是,不是,不是
100095,医院,深圳百合医院,PDY710433,28729191,龙岗区深惠路布吉段359号恒昌工业区1-2栋,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100096,医院,深圳市盐田区人民医院,455767304,0755-25552422,深圳市盐田区沙头角梧桐路2032号,440308,盐田区,没有,不是,不是,不是,不是,不是,是
100097,医院,深圳市眼科医院,455768091,0755-23959523,深圳市福田区香蜜湖街道泽田路18号,440304,福田区,没有,不是,不是,是,不是,不是,不是
100098,医院,深圳市龙岗区中医院,PDY71184X,89911830,深圳市龙岗区体育新城大运路1号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100099,医院,深圳正康骨科医院,PDY611734,13510711406,宝安区西乡街道75区前进二路42号,440306,宝安区,没有,不是,不是,不是,不是,不是,不是
100100,医院,深圳港龙妇产医院,PDY711903,89919035,深圳市龙岗区龙岗大道（龙岗段）3012号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100101,医院,深圳市大鹏新区南澳人民医院,455835258,0755-84401957,深圳市大鹏新区南澳人民医院,440319,大鹏新区,有,是,是,是,不是,是,不是
100102,社康中心,深圳市福田区妇幼保健院,455767793,0755-83836319,深圳市金田路1019号,440304,福田区,没有,不是,不是,不是,不是,不是,不是
100103,社康中心,深圳市龙华新区中心医院大水坑社区健康服务中心,PDY652413,0755-28164563,龙华新区福城街道大水坑社区福花路新塘村65号,440309,龙华区,没有,不是,不是,不是,不是,不是,不是
100104,社康中心,深圳市龙岗中心医院锦龙社区健康服务中心,PDY75177X,0755-89922696,龙岗街道宝龙社区锦龙二路阳光科技园,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100105,社康中心,深圳市龙岗中心医院银珠岭社区健康服务中心,PDY751809,0755-84214481,龙岗街道南联社区第六工业区C7栋,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100106,社康中心,深圳市龙岗区第五人民医院辅城坳社区健康服务中心,PDY85826X,89690647,平湖街道辅城坳居委嘉湖路1-25号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100107,社康中心,深圳市龙岗区平湖人民医院凤凰社区健康服务中心,PDY760158,28450631,平湖街道新南社区凤凰工业园伟利综合制品厂,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100108,社康中心,深圳市罗湖区人民医院南湖社区健康服务中心,MJL167211,82203083,南湖路,440303,罗湖区,没有,不是,不是,不是,不是,不是,不是
100109,社康中心,深圳流花医院和平社区健康服务中心,PDY351450,82366788,罗湖区和平路1161号泰山大厦一楼,440303,罗湖区,没有,不是,不是,不是,不是,不是,不是
100110,医院,深圳华厦眼科医院,PDY411804,88661666,深圳市福田区莲花路2032-1号,440304,福田区,没有,不是,不是,不是,不是,不是,不是
100111,社康中心,深圳市宝安区龙华新区人民医院梅陇镇社区健康服务中心,PDY652288,81753100,龙华新区民治办事处布龙路与梅龙路交接处金地梅陇镇8栋一楼,440309,龙华区,没有,不是,不是,不是,不是,不是,不是
100112,社康中心,深圳市罗湖区翠华社区健康服务中心,MJL167502,0755-25681418,深圳市罗湖区爱国路1035号,440303,罗湖区,没有,不是,不是,不是,不是,不是,不是
100113,医院,深圳市公安局预审监管支队监管医院,680393898,84462720,深圳市福田区梅林街道环林路16号,440304,福田区,没有,不是,不是,不是,不是,不是,不是
100114,社康中心,深圳华侨医院辅城坳工业区社区健康服务中心,799246297,0755-89692610,平湖街道辅城坳工业区富盛路8号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100115,医院,深圳友谊医院,455769078,0755-82413261,深圳市八卦三路九街37栋,440304,福田区,没有,不是,不是,不是,不是,不是,不是
100116,医院,深圳六联医院,73884244X,33823971,深圳市龙岗区横岗区横镇六联路1号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100117,社康中心,深圳市福田区妇幼保健院圩镇社区健康服务中心,PDY450897,82869019,深圳市福南路福滨苑裙楼二楼东侧,440304,福田区,没有,不是,不是,不是,不是,不是,不是
100118,社康中心,深圳市罗湖区人民医院东晓社区健康服务中心,MJL167406,0755-25807528,深圳市罗湖区东晓北路3038号太白居9栋15号商铺,440303,罗湖区,没有,不是,不是,不是,不是,不是,不是
100119,医院,南方医科大学深圳医院,319583850,13710898870,深圳市宝安区新湖路1333号,440306,宝安区,有,是,是,是,不是,是,不是
100120,社康中心,深圳市福田区人民医院华林社区健康服务中心,PDY450600,25926101,福田区八卦工业区544一楼西,440304,福田区,没有,不是,不是,不是,不是,不是,不是
100121,社康中心,深圳市龙岗区布吉人民医院龙岭社区健康服务中心,PDY00001X,28282083,布吉街道龙岭社区吉华路175号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100122,社康中心,深圳市福田区中医院莲花北社区健康服务中心,PDY450045,0755-83065474,福田区莲花北68栋一层,440304,福田区,没有,不是,不是,不是,不是,不是,不是
100123,社康中心,深圳市龙岗区第二人民医院杨美社区健康服务中心,PDY750785,0755-89504138,坂田街道坂田北路中心大厦2号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100124,社康中心,深圳市龙岗区布吉人民医院西环社区医疗服务站,PDY760094,28280983,布吉街道西环路28号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100125,医院,深圳怡宁医院,311611773,13923403386,深圳市龙华新区观澜街道樟坑径三唛科技厂区一期,440309,龙华区,没有,不是,不是,不是,不是,不是,不是
100126,社康中心,深圳市坪山新区人民医院高思特社区健康服务中心,PDY750574,0755-84638193,坪山街道洋坑建业路8号,440310,坪山区,没有,不是,是,不是,不是,不是,不是
100127,医院,深圳市罗湖区人民医院老年病分院,PDY311424,12345678,深圳市罗湖区太宁路73号,440303,罗湖区,没有,不是,不是,不是,不是,不是,不是
100128,医院,深圳市南山区蛇口人民医院高新南社康,PDY550150,86162020,南山区高新南十一路世纪广场114－116号商铺,440305,南山区,没有,不是,是,不是,不是,不是,不是
100129,社康中心,深圳市罗湖区翠达社区健康服务中心,PDY350642,13509657337,罗湖区布心路粤海新村1栋第一层1号及111号,440303,罗湖区,没有,不是,不是,不是,不是,不是,不是
100130,社康中心,深圳市龙岗区第五人民医院海吉星社区健康服务中心,PDY752174,13924584035,龙岗区平湖街道白泥坑社区丹农路1号绿色家园公寓A栋首层A102-104号铺位,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100131,社康中心,深圳市福田区人民医院口岸社区健康服务中心,PDY450571,83004843,深圳市福田区福田街道福田南路皇城广场1050号,440304,福田区,没有,不是,不是,不是,不是,不是,不是
100132,社康中心,深圳市龙岗区沙湾人民医院厦村社区健康服务中心,PDY751323,0755-28740606转8336,南湾街道厦村社区沙平北112号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100133,医院,深圳厚德医院,PDY612737,15994795021,龙华新区大浪街道英泰路1号,440309,龙华区,没有,不是,不是,不是,不是,不是,不是
100134,社康中心,深圳市龙岗区第三人民医院信义御城社区健康服务中心,PDY752078,28863382,深圳市龙岗区横岗街道信义御城6栋104,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100135,社康中心,深圳宝兴医院排榜社区健康服务中心,PDY752115,61863868,深圳市龙岗区横岗街道四联社区四联路349号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100136,社康中心,深圳市龙岗区布吉人民医院罗岗社区健康服务中心,PDY750953,84185972,布吉街道罗岗工业区信义假日名城101号一楼,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100137,社康中心,深圳市龙岗区横岗人民医院横岗社区健康服务中心,PDY750523,28862983,龙岗区横岗街道横岗居委坝心街7号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100138,社康中心,深圳市龙岗区中医院保利上城社区健康服务中心,PDY752123,0755-89912996,深圳市龙岗区保利上城10栋裙楼1层18号2层19号,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100139,医院,深圳悦己医疗美容医院,359982119,待补充,深圳市罗湖区南湖街道人民南路3023号中旅大厦一层东南角、二、三层,440303,罗湖区,没有,不是,不是,不是,不是,不是,不是
100140,社康中心,深圳市龙华新区大浪水围社区健康服务中心,PDY950015,待补充,深圳市龙华新区大浪街道华盛路107号A栋,440309,龙华区,没有,不是,不是,不是,不是,不是,不是
100141,社康中心,深圳市宝安区中心医院玉湖湾社区健康服务中心,PDY652456,13760309600,宝安区西乡街道玉湖湾花园1栋124铺,440306,宝安区,有,不是,不是,是,是,是,不是
100142,社康中心,深圳健丰医院龙湾社区健康服务中心,PDY752131,待补充,深圳市坪山新区龙田社区龙湾路37号1-2楼,440310,坪山区,没有,不是,不是,不是,不是,不是,不是
100143,医院,深圳中山泌尿外科医院,761980744,0755-82221691,深圳市福田区福强路1001号,440304,福田区,没有,不是,是,不是,不是,不是,不是
100144,社康中心,深圳市宝安区中心医院果岭社区健康服务中心,PDY652464,13603093763,宝安大道与银田路交汇处招商果岭花园一期5栋01层143房,440306,宝安区,有,是,是,是,是,是,不是
100145,社康中心,深圳市光明新区中心医院传麒山社区健康服务中心,PDY652499,13632929799,深圳市光明新区光明街道升凯路139号深房传麒山西区4号楼02房,440311,光明区,没有,不是,是,不是,不是,不是,不是
100146,医院,中山大学附属第七医院（深圳）,MB2C08947,15692429315,深圳市光明新区光明街道光侨路东侧、圳辉路北侧,440311,光明区,没有,不是,不是,不是,不是,不是,不是
100147,社康中心,深圳市龙岗区人民医院学府道社区健康服务中心,PDY752190,13434791946,龙岗区龙岗中心城广业城学府道花园5栋商业02层65号楼,440307,龙岗区,没有,不是,不是,不是,不是,不是,不是
100148,社康中心,深圳恒生医院万象新天社区健康服务中心,PDY652472,18682232013,深圳市宝安区西乡街道航城大道南侧香格丽湾园三期万象新天B栋1-10、37-39号商铺,440306,宝安区,没有,是,是,是,不是,是,不是
