doctor_id,working_hospital,relationship
181,深圳市保健委员会办公室专家门诊部,working
182,深圳新龙门诊部,working
183,深圳市罗湖区计划生育专科门诊部,working
184,深圳市罗湖区葛加伟口腔诊所,working
185,深圳希思医疗美容医院（深圳希思医疗美容医院股份有限公司）,working
186,深圳市翠北实验小学医务室,working
187,深圳瑞敏皮肤科医院,working
188,深圳福祥门诊部,working
189,深圳福祥门诊部,working
190,宋任强医疗美容诊所,working
191,深圳武警医院,working
192,深圳武警医院,working
193,深圳武警医院,working
194,深圳武警医院,working
195,深圳武警医院,working
196,深圳经玮门诊部,working
197,高全斌口腔诊所,working
198,深圳协同医疗美容门诊部,working
199,深圳协同医疗美容门诊部,working
200,深圳妍熙医疗美容门诊部,working
201,深圳德尚泌尿外科医院,working
202,深圳金湖口腔门诊部（深圳金湖口腔门诊部有限公司）,working
203,梅奥口腔（深圳）有限公司洁微口腔门诊部,working
204,黄庆群西医内科诊所,working
205,深圳麦芽口腔门诊部,working
206,陈冰医疗美容诊所,working
207,深圳爱康健口腔医院,working
208,深圳艾妍医疗美容门诊部,working
209,深圳市罗湖区银湖社区健康服务中心,working
210,深圳市罗湖区银湖社区健康服务中心,working
211,深圳市罗湖区翠达社区健康服务中心,working
212,深圳友睦三九口腔门诊部（深圳友睦三九口腔门诊部有限公司）,working
213,深圳千叶莲临床心理专科门诊部,working
214,深圳市罗湖区和平社区健康服务中心,working
215,深圳市罗湖区文锦社区健康服务中心,working
216,深圳市罗湖区文锦社区健康服务中心,working
217,深圳市康恩药业有限公司位元堂罗湖中医馆,working
218,深圳市罗湖区风华医疗美容诊所,working
219,深圳专生美医疗美容诊所,working
220,深圳瑞雅口腔诊所,working
221,深圳丰和口腔门诊部,working
222,深圳伊然美医疗美容诊所,working
223,深圳市同步齿科医疗股份有限公司同宏口腔门诊部,working
224,深圳市罗湖区疾病预防控制中心,working
225,深圳市罗湖区疾病预防控制中心,working
226,深圳市三康口腔医疗投资有限公司三康口腔诊所,working
227,深圳颐生堂中医诊所,working
228,深圳玛利诺医疗美容门诊部,working
229,深圳王欢口腔诊所,working
230,深圳爱视眼科医院,working
231,深圳市罗湖区李大领诊所,working
232,深圳市隐适美医疗管理有限公司隐适美口腔门诊部,working
233,深圳市博耀齿科医疗有限公司蔡文颖口腔诊所,working
234,深圳凤凰医院,working
235,深圳市罗湖区中医院康复分院,working
236,深圳市罗湖区中医院康复分院,working
237,深圳市罗湖区中医院,working
238,深圳市罗湖区中医院,working
239,深圳市罗湖区中医院,working
240,深圳市罗湖区中医院,working
241,深圳市罗湖区中医院,working
242,深圳市罗湖区中医院,working
243,深圳市罗湖区中医院,working
244,深圳市罗湖区中医院,working
245,深圳市罗湖区中医院,working
246,深圳市罗湖区中医院,working
247,深圳市罗湖区中医院,working
248,深圳市罗湖区中医院,working
249,深圳市罗湖区中医院,working
250,深圳市罗湖区中医院,working
251,深圳市罗湖区中医院,working
252,深圳市公安局戒毒专科医院,working
253,深圳平乐骨伤科医院,working
254,深圳平乐骨伤科医院,working
255,深圳平乐骨伤科医院,working
256,深圳平乐骨伤科医院,working
257,深圳平乐骨伤科医院,working
258,深圳平乐骨伤科医院,working
259,深圳平乐骨伤科医院,working
260,深圳平乐骨伤科医院,working
261,深圳平乐骨伤科医院,working
262,深圳平乐骨伤科医院,working
263,深圳平乐骨伤科医院,working
264,深圳平乐骨伤科医院,working
265,深圳平乐骨伤科医院,working
266,深圳平乐骨伤科医院,working
267,深圳平乐骨伤科医院,working
268,深圳平乐骨伤科医院,working
269,深圳平乐骨伤科医院,working
270,深圳平乐骨伤科医院,working
271,深圳平乐骨伤科医院,working
272,深圳平乐骨伤科医院,working
273,深圳平乐骨伤科医院,working
274,深圳平乐骨伤科医院,working
115,深圳市人民医院,working
116,深圳市人民医院,working
117,深圳市罗湖医院集团梧桐山社区健康服务中心（深圳市罗湖区人民医院梧桐山社区健康服务中心）,working
118,深圳市职业病防治院,working
119,深圳市职业病防治院,working
120,深圳市职业病防治院,working
121,深圳市职业病防治院,working
122,深圳市职业病防治院,working
123,深圳市职业病防治院,working
124,深圳市职业病防治院,working
125,深圳民泰门诊部,working
126,深圳民泰门诊部,working
127,深圳市泰禾堂实业有限公司深圳泰禾医疗美容门诊部,working
128,深圳博济门诊部,working
129,深圳博济门诊部,working
130,深圳胃思宝门诊部,working
131,深圳宇健中医门诊部,working
132,深圳出入境边防检查总站门诊部（内部医务室）,working
133,深圳市慢性病防治中心门诊部,working
134,深圳市慢性病防治中心门诊部,working
135,深圳博爱医院,working
136,深圳博爱医院,working
137,深圳吴玮综合门诊部,working
138,深圳吴玮综合门诊部,working
139,深圳市罗湖医院集团清水河街道社区健康服务中心（深圳市罗湖区人民医院清水河街道社区健康服务中心）,working
140,深圳市罗湖医院集团文华社区健康服务中心（深圳市罗湖区人民医院文华社区健康服务中心）,working
141,深圳市罗湖医院集团文华社区健康服务中心（深圳市罗湖区人民医院文华社区健康服务中心）,working
142,深圳市中医院新围社区健康服务中心,working
143,深圳市罗湖区书院街社区健康服务中心,working
144,深圳市罗湖区妇幼保健院,working
145,深圳市罗湖区妇幼保健院,working
146,深圳市罗湖区妇幼保健院,working
147,深圳市罗湖区妇幼保健院,working
148,深圳市罗湖区妇幼保健院,working
149,深圳市罗湖区妇幼保健院,working
150,深圳市罗湖区妇幼保健院,working
151,深圳市罗湖区妇幼保健院,working
152,深圳市罗湖区东晓社区健康服务中心,working
153,深圳市罗湖区南湖社区健康服务中心,working
154,深圳市罗湖区南湖社区健康服务中心,working
155,深圳市罗湖医院集团莲塘街道社区健康服务中心（深圳市罗湖区人民医院莲塘街道社区健康服务中心）,working
156,深圳市罗湖医院集团莲塘街道社区健康服务中心（深圳市罗湖区人民医院莲塘街道社区健康服务中心）,working
157,深圳瑞尔齿科门诊部,working
158,深圳爱康国宾门诊部,working
159,深圳爱康国宾门诊部,working
160,深圳爱康国宾门诊部,working
161,深圳爱康国宾门诊部,working
162,深圳市爱康健齿科集团股份有限公司富康口腔门诊部,working
163,深圳市罗湖区温演义诊所,working
164,深圳康美人生松园路中医坐堂医诊所,working
165,郑寿泉中医内科诊所,working
546,深圳市罗湖医院集团仙湖社区健康服务中心（深圳市罗湖区人民医院仙湖社区健康服务中心）,working
547,深圳市罗湖医院集团桂园街道社区健康服务中心（深圳市罗湖区人民医院桂园街道社区健康服务中心）,working
548,深圳市罗湖医院集团桂园街道社区健康服务中心（深圳市罗湖区人民医院桂园街道社区健康服务中心）,working
549,蔡桂光中医内科诊所,working
550,詹小金西医内科诊所,working
551,深圳市康宁医院,working
552,深圳市康宁医院,working
553,深圳市康宁医院,working
554,深圳市康宁医院,working
555,深圳市康宁医院,working
556,深圳市康宁医院,working
557,深圳市康宁医院,working
558,深圳市康宁医院,working
559,深圳市康宁医院,working
560,深圳市康宁医院,working
561,深圳市康宁医院,working
562,深圳市康宁医院,working
563,深圳市康宁医院,working
564,深圳市康宁医院,working
565,深圳市康宁医院,working
566,深圳市康宁医院,working
567,叶君灵中医诊所,working
568,深圳市八福贸易有限公司盛美佳门诊部,working
569,深圳市八福贸易有限公司盛美佳门诊部,working
570,深圳市八福贸易有限公司盛美佳门诊部,working
571,深圳瑞安迪妇科门诊部,working
572,深圳瑞安迪妇科门诊部,working
573,深圳幸福门诊部,working
574,深圳幸福门诊部,working
575,深圳市罗湖区慢性病防治院,working
576,深圳市罗湖区慢性病防治院,working
577,深圳市罗湖区慢性病防治院,working
578,深圳市孙逸仙心血管医院,working
579,深圳市孙逸仙心血管医院,working
580,深圳市孙逸仙心血管医院,working
581,深圳市孙逸仙心血管医院,working
582,深圳市孙逸仙心血管医院,working
583,深圳市孙逸仙心血管医院,working
584,深圳市孙逸仙心血管医院,working
585,深圳市孙逸仙心血管医院,working
586,深圳市孙逸仙心血管医院,working
587,深圳市孙逸仙心血管医院,working
588,深圳市孙逸仙心血管医院,working
589,深圳市孙逸仙心血管医院,working
590,深圳市孙逸仙心血管医院,working
591,深圳市孙逸仙心血管医院,working
592,深圳市孙逸仙心血管医院,working
593,深圳市罗湖区红岗社区健康服务中心,working
594,深圳市罗湖区红岗社区健康服务中心,working
595,深圳市罗湖区大望社区健康服务中心,working
596,深圳市罗湖区大望社区健康服务中心,working
597,深圳市罗湖区大松泉社区健康服务中心,working
598,深圳市罗湖区大松泉社区健康服务中心,working
599,深圳市罗湖区大松泉社区健康服务中心,working
600,深圳鹏程医院,working
601,深圳鹏程医院,working
602,深圳鹏程医院,working
603,深圳鹏程医院,working
604,深圳鹏程医院,working
605,深圳鹏程医院,working
606,深圳鹏程医院,working
607,深圳鹏程医院,working
608,深圳鹏程医院,working
609,深圳鹏程医院,working
610,深圳鹏程医院,working
611,深圳市保健委员会办公室专家门诊部,working
612,深圳市保健委员会办公室专家门诊部,working
613,深圳市保健委员会办公室专家门诊部,working
614,深圳市保健委员会办公室专家门诊部,working
615,深圳市保健委员会办公室专家门诊部,working
616,深圳市保健委员会办公室专家门诊部,working
617,深圳市保健委员会办公室专家门诊部,working
618,深圳市保健委员会办公室专家门诊部,working
619,深圳雅涵医疗美容门诊部,working
620,深圳市洪笙医疗投资有限公司张玉芹口腔诊所,working
621,深圳希思医疗美容医院（深圳希思医疗美容医院股份有限公司）,working
622,深圳希思医疗美容医院（深圳希思医疗美容医院股份有限公司）,working
623,杨珠莉口腔诊所,working
624,杨珠莉口腔诊所,working
625,深圳丽人妇科门诊部,working
626,深圳都市门诊部,working
627,深圳福祥门诊部,working
628,深圳广尔美丽医疗美容门诊部,working
629,深圳黄琛口腔诊所,working
630,深圳武警医院,working
631,深圳武警医院,working
632,深圳武警医院,working
633,深圳武警医院,working
634,深圳武警医院,working
635,深圳武警医院,working
636,深圳武警医院,working
637,深圳武警医院,working
638,深圳武警医院,working
639,深圳武警医院,working
640,深圳武警医院,working
641,深圳武警医院,working
642,深圳武警医院,working
643,深圳武警医院,working
644,深圳武警医院,working
645,深圳武警医院,working
646,深圳武警医院,working
647,深圳武警医院,working
648,深圳经玮门诊部,working
649,陈林口腔诊所,working
650,深圳德尚泌尿外科医院,working
651,深圳德尚泌尿外科医院,working
652,深圳江小雷口腔诊所,working
653,深圳鸿安门诊部,working
654,深圳鸿安门诊部,working
655,深圳韩美尔医疗美容门诊部,working
656,深圳科美丽格门诊部,working
657,深圳科美丽格门诊部,working
658,深圳颐元中医馆,working
659,深圳麦芽口腔门诊部,working
660,深圳麦芽口腔门诊部,working
661,深圳麦芽口腔门诊部,working
662,深圳麦芽口腔门诊部,working
663,深圳麦芽口腔门诊部,working
664,深圳麦芽口腔门诊部,working
665,深圳法兰建设口腔门诊部（深圳法兰建设口腔门诊部有限公司）,working
666,深圳繁荣口腔门诊部,working
667,深圳原色医疗美容门诊部（深圳原色医疗美容门诊部有限公司）,working
668,深圳永秀医疗美容门诊部（深圳永秀医疗美容门诊部有限公司）,working
669,刘育兴口腔诊所,working
670,深圳温莎口腔门诊部（深圳正夫口腔医疗管理连锁有限公司温莎口腔门诊部）,working
671,深圳温莎口腔门诊部（深圳正夫口腔医疗管理连锁有限公司温莎口腔门诊部）,working
672,深圳爱康健口腔医院,working
673,深圳爱康健口腔医院,working
674,深圳爱康健口腔医院,working
675,深圳童佳口腔门诊部（深圳童美口腔医疗投资管理有限公司深圳童佳口腔门诊部）,working
676,深圳江南春天医疗美容医院,working
677,深圳江南春天医疗美容医院,working
678,深圳江南春天医疗美容医院,working
679,深圳品佳口腔门诊部（深圳市品佳齿科医疗投资管理有限公司品佳口腔门诊部）,working
680,深圳市罗湖区翠达社区健康服务中心,working
681,深圳市罗湖区翠达社区健康服务中心,working
682,深圳市罗湖区银湖社区健康服务中心,working
683,深圳红伟医疗美容门诊部,working
684,深圳美恒医疗美容门诊部,working
685,深圳美恒医疗美容门诊部,working
686,深圳美恒医疗美容门诊部,working
687,深圳科琳美医疗美容门诊部（深圳科琳美医疗美容门诊部有限公司）,working
688,孙存亮医疗美容诊所（深圳市罗湖区孙存亮医疗美容诊所）,working
689,刘月嫦口腔诊所（深圳市罗湖区刘月嫦口腔诊所）,working
690,刘月嫦口腔诊所（深圳市罗湖区刘月嫦口腔诊所）,working
691,邓晓明口腔诊所（深圳市罗湖区邓晓明口腔诊所）,working
692,深圳至善口腔门诊部,working
693,深圳市罗湖区文锦社区健康服务中心,working
694,深圳正阳口腔门诊部（深圳正阳口腔门诊部有限公司）,working
695,深圳泽恩门诊部,working
696,深圳颜美医疗美容门诊部,working
697,深圳开成口腔诊所,working
698,深圳市罗湖区和平社区健康服务中心,working
699,深圳市罗湖区和平社区健康服务中心,working
700,深圳怡康妇产医院,working
701,深圳怡康妇产医院,working
702,深圳怡康妇产医院,working
703,深圳怡康妇产医院,working
704,深圳怡康妇产医院,working
705,深圳怡康妇产医院,working
706,深圳怡康妇产医院,working
275,深圳平乐骨伤科医院,working
276,深圳仁康医院,working
277,深圳流花医院,working
278,深圳流花医院,working
279,深圳流花医院,working
280,深圳流花医院,working
281,黄杜鹃口腔诊所,working
282,深圳远东妇产医院,working
283,深圳远东妇产医院,working
284,深圳远东妇产医院,working
285,深圳远东妇产医院,working
286,深圳远东妇产医院,working
287,深圳远东妇产医院,working
288,深圳远东妇产医院,working
289,深圳远东妇产医院,working
290,深圳远东妇产医院,working
291,深圳远东妇产医院,working
292,深圳远东妇产医院,working
293,深圳远东妇产医院,working
294,深圳远东妇产医院,working
295,深圳远东妇产医院,working
296,深圳远东妇产医院,working
297,深圳远东妇产医院,working
298,深圳阳光整形美容医院,working
299,深圳阳光整形美容医院,working
300,深圳阳光整形美容医院,working
301,深圳阳光整形美容医院,working
302,深圳新兴皮肤病专科门诊部,working
303,深圳新兴皮肤病专科门诊部,working
304,深圳非凡医疗美容医院（深圳非凡医疗美容医院有限公司）,working
305,深圳非凡医疗美容医院（深圳非凡医疗美容医院有限公司）,working
306,深圳富华医疗美容医院（深圳富华医疗美容医院有限公司）,working
307,深圳富华医疗美容医院（深圳富华医疗美容医院有限公司）,working
308,深圳富华医疗美容医院（深圳富华医疗美容医院有限公司）,working
309,深圳市欧健药业有限公司曹永荣诊所,working
310,深圳寰宇门诊部,working
311,深圳博爱曙光医院,working
312,深圳博爱曙光医院,working
313,深圳博爱曙光医院,working
314,深圳市罗湖区凤凰社区健康服务中心,working
315,深圳市罗湖区凤凰社区健康服务中心,working
316,深圳市罗湖区松园社区健康服务中心,working
317,深圳市罗湖区松园社区健康服务中心,working
318,深圳市罗湖区松园社区健康服务中心,working
319,深圳市罗湖区松园社区健康服务中心,working
320,深圳市爱康健齿科集团股份有限公司康辉口腔门诊部,working
321,深圳市第一建筑工程有限公司卫生室,working
322,深圳市第一建筑工程有限公司卫生室,working
323,深圳市罗湖医院集团东门街道社区健康服务中心（深圳市罗湖区人民医院东门街道社区健康服务中心）,working
324,深圳市罗湖医院集团东门街道社区健康服务中心（深圳市罗湖区人民医院东门街道社区健康服务中心）,working
325,深圳市罗湖区人民医院,working
326,深圳市罗湖区人民医院,working
327,深圳市罗湖区人民医院,working
328,深圳市罗湖区人民医院,working
329,深圳市罗湖区人民医院,working
330,深圳市罗湖区人民医院,working
331,深圳市罗湖区人民医院,working
332,深圳市罗湖区人民医院,working
333,深圳市罗湖区人民医院,working
334,深圳市罗湖区人民医院,working
335,深圳市罗湖区人民医院,working
336,深圳市罗湖区人民医院,working
337,深圳市罗湖区人民医院,working
338,深圳市罗湖区人民医院,working
339,深圳市罗湖区人民医院,working
340,深圳市罗湖区人民医院,working
341,深圳市罗湖区人民医院,working
342,深圳市罗湖区人民医院,working
343,深圳市罗湖区人民医院,working
344,深圳市罗湖区人民医院,working
345,深圳市罗湖区人民医院,working
346,深圳市罗湖区人民医院,working
347,深圳市罗湖区人民医院,working
348,深圳市罗湖区人民医院,working
349,深圳市罗湖区人民医院,working
350,深圳市罗湖区人民医院,working
351,深圳市罗湖区人民医院,working
352,深圳市罗湖区人民医院,working
353,深圳市罗湖区人民医院,working
354,深圳市罗湖区人民医院,working
355,深圳市罗湖区人民医院,working
356,深圳市罗湖区人民医院,working
357,深圳市罗湖区人民医院,working
358,深圳市罗湖区人民医院,working
359,深圳市罗湖区人民医院,working
360,深圳市罗湖区人民医院,working
361,深圳市罗湖区人民医院,working
362,深圳市罗湖区人民医院,working
363,深圳市罗湖区人民医院,working
364,深圳市罗湖区人民医院,working
365,深圳市罗湖区人民医院,working
366,深圳市罗湖区人民医院,working
367,深圳市罗湖区人民医院,working
368,深圳市罗湖区人民医院,working
369,深圳市罗湖区人民医院,working
370,王子文西医诊所,working
371,黄成团联合诊所,working
372,黄成团联合诊所,working
373,深圳市人民医院,working
374,深圳市人民医院,working
375,深圳市人民医院,working
376,深圳市人民医院,working
377,深圳市人民医院,working
378,深圳市人民医院,working
379,深圳市人民医院,working
380,深圳市人民医院,working
381,深圳市人民医院,working
382,深圳市人民医院,working
383,深圳市人民医院,working
384,深圳市人民医院,working
385,深圳市人民医院,working
386,深圳市人民医院,working
387,深圳市人民医院,working
388,深圳市人民医院,working
389,深圳市人民医院,working
390,深圳市人民医院,working
391,深圳市人民医院,working
392,深圳市人民医院,working
393,深圳市人民医院,working
394,深圳市人民医院,working
395,深圳市人民医院,working
396,深圳市人民医院,working
397,深圳市人民医院,working
398,深圳市人民医院,working
399,深圳市人民医院,working
400,深圳市人民医院,working
401,深圳市人民医院,working
402,深圳市人民医院,working
403,深圳市人民医院,working
404,深圳市人民医院,working
405,深圳市人民医院,working
406,深圳市人民医院,working
407,深圳市人民医院,working
408,深圳市人民医院,working
409,深圳市人民医院,working
410,深圳市人民医院,working
411,深圳市人民医院,working
412,深圳市人民医院,working
413,深圳市人民医院,working
414,深圳市人民医院,working
415,深圳市人民医院,working
416,深圳市人民医院,working
417,深圳市人民医院,working
418,深圳市人民医院,working
419,深圳市人民医院,working
420,深圳市人民医院,working
421,深圳市人民医院,working
422,深圳市人民医院,working
423,深圳市人民医院,working
424,深圳市人民医院,working
425,深圳市人民医院,working
426,深圳市人民医院,working
427,深圳市人民医院,working
428,深圳市人民医院,working
429,深圳市人民医院,working
430,深圳市人民医院,working
431,深圳市人民医院,working
432,深圳市人民医院,working
433,深圳市人民医院,working
434,深圳市人民医院,working
435,深圳市人民医院,working
436,深圳市人民医院,working
437,深圳市人民医院,working
438,深圳市人民医院,working
439,深圳市人民医院,working
440,深圳市人民医院,working
441,深圳市人民医院,working
442,深圳市人民医院,working
443,深圳市人民医院,working
444,深圳市人民医院,working
445,深圳市人民医院,working
446,深圳市人民医院,working
447,红桂小学医务室（内部医务室）,working
448,深圳深华医院,working
449,深圳市职业病防治院,working
450,深圳市职业病防治院,working
451,深圳市职业病防治院,working
452,深圳市职业病防治院,working
453,深圳市职业病防治院,working
454,深圳市职业病防治院,working
455,深圳市职业病防治院,working
456,深圳市职业病防治院,working
457,深圳市职业病防治院,working
458,深圳市职业病防治院,working
459,深圳市罗湖医院集团田贝社区健康服务中心（深圳市罗湖区人民医院田贝社区健康服务中心）,working
460,深圳市罗湖医院集团田贝社区健康服务中心（深圳市罗湖区人民医院田贝社区健康服务中心）,working
461,深圳市螺岭外国语实验学校二部医务室（内部医务室）,working
462,深圳南方门诊部,working
463,深圳南方门诊部,working
464,深圳博济门诊部,working
465,深圳胃思宝门诊部,working
466,深圳远大肛肠医院,working
467,深圳远大肛肠医院,working
468,深圳远大肛肠医院,working
469,刘芳令口腔诊所（深圳市丰泽齿科投资发展有限公司刘芳令口腔诊所）,working
470,刘芳令口腔诊所（深圳市丰泽齿科投资发展有限公司刘芳令口腔诊所）,working
471,深圳市罗湖医院集团梧桐山社区健康服务中心（深圳市罗湖区人民医院梧桐山社区健康服务中心）,working
472,深圳博爱医院,working
473,深圳博爱医院,working
474,深圳博爱医院,working
475,深圳博爱医院,working
476,深圳博爱医院,working
477,深圳博爱医院,working
478,深圳博爱医院,working
479,深圳博爱医院,working
480,深圳博爱医院,working
481,深圳博爱医院,working
482,深圳博爱医院,working
483,深圳博爱医院,working
484,深圳博爱医院,working
485,深圳市慢性病防治中心门诊部,working
486,深圳市慢性病防治中心门诊部,working
487,深圳市罗湖医院集团莲花社区健康服务中心（深圳市罗湖区人民医院莲花社区健康服务中心）,working
488,深圳市罗湖医院集团莲花社区健康服务中心（深圳市罗湖区人民医院莲花社区健康服务中心）,working
489,深圳广安康口腔门诊部,working
490,深圳广安康口腔门诊部,working
491,深圳广安康口腔门诊部,working
492,深圳广安康口腔门诊部,working
493,深圳市罗湖医院集团清水河街道社区健康服务中心（深圳市罗湖区人民医院清水河街道社区健康服务中心）,working
494,深圳市罗湖医院集团清水河街道社区健康服务中心（深圳市罗湖区人民医院清水河街道社区健康服务中心）,working
495,深圳市罗湖医院集团清水河街道社区健康服务中心（深圳市罗湖区人民医院清水河街道社区健康服务中心）,working
496,深圳市罗湖医院集团怡景社区健康服务中心（深圳市罗湖区人民医院怡景社区健康服务中心）,working
497,深圳市罗湖区草埔东社区健康服务中心,working
498,深圳市罗湖区草埔东社区健康服务中心,working
499,深圳市罗湖区草埔东社区健康服务中心,working
500,深圳市罗湖医院集团文华社区健康服务中心（深圳市罗湖区人民医院文华社区健康服务中心）,working
501,深圳市罗湖医院集团翠岭社区健康服务中心（深圳市罗湖区人民医院翠岭社区健康服务中心）,working
502,深圳市罗湖医院集团莲塘街道社区健康服务中心（深圳市罗湖区人民医院莲塘街道社区健康服务中心）,working
503,深圳瑞尔齿科门诊部,working
504,宋鸿雁口腔诊所,working
505,深圳市罗湖区东晓社区健康服务中心,working
506,深圳市罗湖区南湖社区健康服务中心,working
507,深圳市罗湖区南湖社区健康服务中心,working
508,深圳市罗湖区妇幼保健院,working
509,深圳市罗湖区妇幼保健院,working
510,深圳市罗湖区妇幼保健院,working
511,深圳市罗湖区妇幼保健院,working
512,深圳市罗湖区妇幼保健院,working
513,深圳市罗湖区妇幼保健院,working
514,深圳市罗湖区妇幼保健院,working
515,深圳市罗湖区妇幼保健院,working
516,深圳市罗湖区妇幼保健院,working
517,深圳市罗湖区妇幼保健院,working
518,深圳市罗湖区妇幼保健院,working
519,深圳市罗湖区妇幼保健院,working
520,深圳市罗湖区妇幼保健院,working
521,深圳市罗湖区妇幼保健院,working
522,深圳市罗湖区妇幼保健院,working
523,深圳市罗湖区妇幼保健院,working
524,深圳市罗湖区妇幼保健院,working
525,深圳市罗湖区书院街社区健康服务中心,working
526,深圳市罗湖区书院街社区健康服务中心,working
527,深圳市罗湖医院集团长岭社区健康服务中心（深圳市罗湖区人民医院长岭社区健康服务中心）,working
528,深圳市罗湖医院集团罗湖区看守所卫生所,working
529,深圳市爱康健齿科集团股份有限公司富康口腔门诊部,working
530,深圳市爱康健齿科集团股份有限公司富康口腔门诊部,working
531,潘永华中医骨伤科诊所,working
532,深圳博耀门诊部（深圳市罗湖区博耀门诊部）,working
533,深圳博耀门诊部（深圳市罗湖区博耀门诊部）,working
534,深圳博耀门诊部（深圳市罗湖区博耀门诊部）,working
535,深圳博耀门诊部（深圳市罗湖区博耀门诊部）,working
536,深圳保龄口腔门诊部,working
537,深圳保龄口腔门诊部,working
538,深圳雷书芳口腔诊所,working
539,深圳常安门诊部,working
540,深圳腋秀医疗有限公司腋秀门诊部,working
541,深圳孙灵诊所,working
542,深圳鹏华门诊部,working
